bib_key,tex_file,line
ParasuramanRiley1997,defense_project\latex\sections\01_intro_lit_review.tex,17
LeeSee2004,defense_project\latex\sections\01_intro_lit_review.tex,17
Dietvorst2015,defense_project\latex\sections\01_intro_lit_review.tex,17
Logg2019,defense_project\latex\sections\01_intro_lit_review.tex,17
ResnickVarian1997,defense_project\latex\sections\01_intro_lit_review.tex,19
ResnickVarian1997,defense_project\latex\sections\01_intro_lit_review.tex,89
AdomaviciusTuzhilin2005,defense_project\latex\sections\01_intro_lit_review.tex,19
AdomaviciusTuzhilin2005,defense_project\latex\sections\01_intro_lit_review.tex,89
Bozdag2013,defense_project\latex\sections\01_intro_lit_review.tex,19
Bozdag2013,defense_project\latex\sections\01_intro_lit_review.tex,89
Vaswani2017,defense_project\latex\sections\01_intro_lit_review.tex,21
Vaswani2017,defense_project\latex\sections\01_intro_lit_review.tex,91
Brown2020,defense_project\latex\sections\01_intro_lit_review.tex,21
Brown2020,defense_project\latex\sections\01_intro_lit_review.tex,91
Ouyang2022,defense_project\latex\sections\01_intro_lit_review.tex,21
Ouyang2022,defense_project\latex\sections\01_intro_lit_review.tex,91
KamenicaGentzkow2011,defense_project\latex\sections\01_intro_lit_review.tex,29
KamenicaGentzkow2011,defense_project\latex\sections\01_intro_lit_review.tex,87
BergemannMorris2019,defense_project\latex\sections\01_intro_lit_review.tex,29
BergemannMorris2019,defense_project\latex\sections\01_intro_lit_review.tex,87
deClippelZhang2020,defense_project\latex\sections\01_intro_lit_review.tex,87
deClippelZhang2022,defense_project\latex\sections\01_intro_lit_review.tex,31
Sims2003,defense_project\latex\sections\01_intro_lit_review.tex,49
CaplinDean2015,defense_project\latex\sections\01_intro_lit_review.tex,49
CaplinDean2015,defense_project\latex\sections\03_research_design_and_studies.tex,69
PayneBettmanJohnson1993,defense_project\latex\sections\01_intro_lit_review.tex,51
PayneBettmanJohnson1993,defense_project\latex\sections\03_research_design_and_studies.tex,68
Nickerson1998,defense_project\latex\sections\01_intro_lit_review.tex,51
LordRossLepper1979,defense_project\latex\sections\01_intro_lit_review.tex,51
ReevesNass1996,defense_project\latex\sections\01_intro_lit_review.tex,77
ReevesNass1996,defense_project\latex\sections\01_intro_lit_review.tex,97
NassMoon2000,defense_project\latex\sections\01_intro_lit_review.tex,77
NassMoon2000,defense_project\latex\sections\01_intro_lit_review.tex,97
EpleyWaytzCacioppo2007,defense_project\latex\sections\01_intro_lit_review.tex,77
Waytz2010,defense_project\latex\sections\01_intro_lit_review.tex,77
GreenBrock2000,defense_project\latex\sections\01_intro_lit_review.tex,93
Bender2021,defense_project\latex\sections\01_intro_lit_review.tex,95
Bender2021,defense_project\latex\sections\01_intro_lit_review.tex,95
Edwards1965,defense_project\latex\sections\03_research_design_and_studies.tex,67
EnkeZimmermann2019,defense_project\latex\sections\03_research_design_and_studies.tex,69
WoodruffHewitt2026,defense_project\latex\sections\01_intro_lit_review.tex,79
WoodruffHewitt2026,defense_project\latex\sections\01_intro_lit_review.tex,79
QiPan2026,defense_project\latex\sections\01_intro_lit_review.tex,79
QiPan2026,defense_project\latex\sections\01_intro_lit_review.tex,79
