source_key,target_key,file,line
ParasuramanRiley1997,LeeSee2004,defense_project\latex\sections\01_intro_lit_review.tex,17
ParasuramanRiley1997,Dietvorst2015,defense_project\latex\sections\01_intro_lit_review.tex,17
ParasuramanRiley1997,Logg2019,defense_project\latex\sections\01_intro_lit_review.tex,17
LeeSee2004,Dietvorst2015,defense_project\latex\sections\01_intro_lit_review.tex,17
LeeSee2004,Logg2019,defense_project\latex\sections\01_intro_lit_review.tex,17
Dietvorst2015,Logg2019,defense_project\latex\sections\01_intro_lit_review.tex,17
ResnickVarian1997,AdomaviciusTuzhilin2005,defense_project\latex\sections\01_intro_lit_review.tex,19
ResnickVarian1997,Bozdag2013,defense_project\latex\sections\01_intro_lit_review.tex,19
AdomaviciusTuzhilin2005,Bozdag2013,defense_project\latex\sections\01_intro_lit_review.tex,19
Vaswani2017,Brown2020,defense_project\latex\sections\01_intro_lit_review.tex,21
Vaswani2017,Ouyang2022,defense_project\latex\sections\01_intro_lit_review.tex,21
Brown2020,Ouyang2022,defense_project\latex\sections\01_intro_lit_review.tex,21
Sims2003,CaplinDean2015,defense_project\latex\sections\01_intro_lit_review.tex,49
Nickerson1998,LordRossLepper1979,defense_project\latex\sections\01_intro_lit_review.tex,51
ReevesNass1996,NassMoon2000,defense_project\latex\sections\01_intro_lit_review.tex,77
EpleyWaytzCacioppo2007,Waytz2010,defense_project\latex\sections\01_intro_lit_review.tex,77
ResnickVarian1997,AdomaviciusTuzhilin2005,defense_project\latex\sections\01_intro_lit_review.tex,89
ResnickVarian1997,Bozdag2013,defense_project\latex\sections\01_intro_lit_review.tex,89
AdomaviciusTuzhilin2005,Bozdag2013,defense_project\latex\sections\01_intro_lit_review.tex,89
Vaswani2017,Brown2020,defense_project\latex\sections\01_intro_lit_review.tex,91
Vaswani2017,Ouyang2022,defense_project\latex\sections\01_intro_lit_review.tex,91
Brown2020,Ouyang2022,defense_project\latex\sections\01_intro_lit_review.tex,91
ReevesNass1996,NassMoon2000,defense_project\latex\sections\01_intro_lit_review.tex,97
