key,type,title,first_author,all_authors,year,venue,volume,number,pages,doi,eprint,category,concepts,has_pdf,pdf_path,cited_count
ParasuramanRiley1997,article,"Humans and Automation: Use, Misuse, Disuse, Abuse","Parasuraman, Raja","Parasuraman, Raja; Riley, Victor",1997,Human Factors,39,2,230--253,10.1518/001872097778543886,,algorithms_trust_hci,automation_use_abuse; automation_paradox; human_factors,,,1
LeeSee2004,article,Trust in Automation: Designing for Appropriate Reliance,"Lee, John D.","Lee, John D.; See, Katrina A.",2004,Human Factors,46,1,50--80,10.1518/hfes.46.1.50_30392,,algorithms_trust_hci,trust_in_automation; appropriate_reliance; trust_calibration,,,1
Dietvorst2015,article,Algorithm Aversion: People Erroneously Avoid Algorithms after Seeing Them Err,"Dietvorst, Berkeley J.","Dietvorst, Berkeley J.; Simmons, Joseph P.; Massey, Cade",2015,Journal of Experimental Psychology: General,144,1,114--126,10.1037/xge0000033,,algorithms_trust_hci,algorithm_aversion; algorithm_error; forecast_algorithm,,,1
Logg2019,article,Algorithm Appreciation: People Prefer Algorithmic to Human Judgment,"Logg, Jennifer M.","Logg, Jennifer M.; Minson, Julia A.; Moore, Don A.",2019,Organizational Behavior and Human Decision Processes,151,,90--103,10.1016/j.obhdp.2018.12.005,,algorithms_trust_hci,algorithm_appreciation; algorithmic_judgment; AI_advice,,,1
ResnickVarian1997,article,Recommender Systems,"Resnick, Paul","Resnick, Paul; Varian, Hal R.",1997,Communications of the ACM,40,3,56--58,10.1145/245108.245121,,recommender_genai,recommender_systems; collaborative_filtering; information_filtering,,,2
AdomaviciusTuzhilin2005,article,Toward the Next Generation of Recommender Systems: A Survey of the State-of-the-Art and Possible Extensions,"Adomavicius, Gediminas","Adomavicius, Gediminas; Tuzhilin, Alexander",2005,IEEE Transactions on Knowledge and Data Engineering,17,6,734--749,10.1109/TKDE.2005.99,,recommender_genai,recommender_systems_survey; next_generation_recommender,,,2
Bozdag2013,article,Bias in Algorithmic Filtering and Personalization,"Bozdag, Engin","Bozdag, Engin",2013,Ethics and Information Technology,15,3,209--227,10.1007/s10676-013-9321-6,,recommender_genai,algorithmic_bias; filter_bubble; personalization_ethics,,,2
Vaswani2017,inproceedings,Attention Is All You Need,"Vaswani, Ashish","Vaswani, Ashish; Shazeer, Noam; Parmar, Niki; Uszkoreit, Jakob; Jones, Llion; Gomez, Aidan N.; Kaiser, Lukasz; Polosukhin, Illia",2017,Advances in Neural Information Processing Systems 30,,,5998--6008,,,recommender_genai,transformer; attention_mechanism; self_supervised_learning,True,defense_project\reference_materials\papers_originals\recommender_genai\Vaswani2017.pdf,2
Brown2020,inproceedings,Language Models are Few-Shot Learners,"Brown, Tom B.","Brown, Tom B.; Mann, Benjamin; Ryder, Nick; Subbiah, Melanie; Kaplan, Jared; Dhariwal, Prafulla; Neelakantan, Arvind; Shyam, Pranav; Sastry, Girish; Askell, Amanda; Agarwal, Sandhini; Herbert-Voss, Ariel; Krueger, Gretchen; Henighan, Tom; Child, Rewon; Ramesh, Aditya; Ziegler, Daniel M.; Wu, Jeffrey; Winter, Clemens; Hesse, Christopher; Chen, Mark; Sigler, Eric; Litwin, Mateusz; Gray, Scott; Chess, Benjamin; Clark, Jack; Berner, Christopher; McCandlish, Sam; Radford, Alec; Sutskever, Ilya; Amodei, Dario",2020,Advances in Neural Information Processing Systems 33,,,1877--1901,,,recommender_genai,few_shot_learning; GPT_3; language_model; in_context_learning,True,defense_project\reference_materials\papers_originals\recommender_genai\Brown2020.pdf,2
Ouyang2022,inproceedings,Training Language Models to Follow Instructions with Human Feedback,"Ouyang, Long","Ouyang, Long; Wu, Jeffrey; Jiang, Xu; Almeida, Diogo; Wainwright, Carroll; Mishkin, Pamela; Zhang, Chong; Agarwal, Sandhini; Slama, Katarina; Ray, Alex; Schulman, John; Hilton, Jacob; Kelton, Fraser; Miller, Luke; Simens, Maddie; Askell, Amanda; Welinder, Peter; Christiano, Paul; Leike, Jan; Lowe, Ryan",2022,Advances in Neural Information Processing Systems 35,,,27730--27744,,,recommender_genai,RLHF; instruction_tuning; InstructGPT,True,defense_project\reference_materials\papers_originals\recommender_genai\Ouyang2022.pdf,2
KamenicaGentzkow2011,article,Bayesian Persuasion,"Kamenica, Emir","Kamenica, Emir; Gentzkow, Matthew",2011,American Economic Review,101,6,2590--2615,10.1257/aer.101.6.2590,,foundational_theory,bayesian_persuasion; information_design; signal_structure,,,2
BergemannMorris2019,article,Information Design: A Unified Perspective,"Bergemann, Dirk","Bergemann, Dirk; Morris, Stephen",2019,Journal of Economic Literature,57,1,44--95,10.1257/jel.20181489,,foundational_theory,information_design; unified_framework; posterior_beliefs,,,2
deClippelZhang2020,unpublished,Non-Bayesian Persuasion,"de Clippel, Geoffroy","de Clippel, Geoffroy; Zhang, Xu",2020,,,,,,,foundational_theory,,,,1
deClippelZhang2022,article,Non-Bayesian Persuasion,"de Clippel, Geoffroy","de Clippel, Geoffroy; Zhang, Xu",2022,Journal of Political Economy,130,10,2594--2642,10.1086/720464,,foundational_theory,non_bayesian_persuasion; distortion_function; signal_design,,,1
Sims2003,article,Implications of Rational Inattention,"Sims, Christopher A.","Sims, Christopher A.",2003,Journal of Monetary Economics,50,3,665--690,10.1016/S0304-3932(03)00029-1,,information_acquisition,rational_inattention; information_cost; entropy,,,1
CaplinDean2015,article,"Revealed Preference, Rational Inattention, and Costly Information Acquisition","Caplin, Andrew","Caplin, Andrew; Dean, Mark",2015,American Economic Review,105,7,2183--2203,10.1257/aer.20140117,,information_acquisition,rational_inattention; costly_information_acquisition; revealed_preference,,,2
PayneBettmanJohnson1993,book,The Adaptive Decision Maker,"Payne, John W.","Payne, John W.; Bettman, James R.; Johnson, Eric J.",1993,Cambridge University Press,,,,,,information_acquisition,adaptive_decision_maker; judgment_strategies; decision_process,,,2
Nickerson1998,article,Confirmation Bias: A Ubiquitous Phenomenon in Many Guises,"Nickerson, Raymond S.","Nickerson, Raymond S.",1998,Review of General Psychology,2,2,175--220,10.1037/1089-2680.2.2.175,,information_acquisition,confirmation_bias; belief_persistence,,,1
LordRossLepper1979,article,Biased Assimilation and Attitude Polarization: The Effects of Prior Theories on Subsequently Considered Evidence,"Lord, Charles G.","Lord, Charles G.; Ross, Lee; Lepper, Mark R.",1979,Journal of Personality and Social Psychology,37,11,2098--2109,10.1037/0022-3514.37.11.2098,,information_acquisition,biased_assimilation; attitude_polarization; prior_beliefs,,,1
